GEOID,tot_pop,median_inc,unemp,pov,EP_age_65,diveristy_idx,hou_burd,vote_share,crime_rate
021169,9983,33788,0.07127112417340191,0.22718001019887812,0.18571571671842133,0.09042426116183533,0.006093829678735339,0.21125541125541125,0.024541720925573475
021171,10692,34120,0.08977556109725686,0.24677674734223026,0.18237934904601572,0.08504678632915741,0.005858403076227098,0.1204167501502705,0.015993265993265993
021173,27391,39750,0.08907688479721323,0.24050137093615354,0.14778576904822752,0.10910373638097459,0.0025851938895417154,0.2757596926301083,0.053740279653900914
021175,13379,32517,0.08513743614692289,0.24019409623938537,0.14829209955901038,0.10668019920999972,0.005115244642135058,0.2106806282722513,0.01704163240899918
021177,31216,40445,0.08449736661323563,0.1835794960903562,0.17631983598154793,0.1146957885053359,0.001685490877497828,0.25053598774885144,0.03677601230138391
021179,44875,51408,0.07120743034055728,0.13315154328150383,0.1332590529247911,0.1572514974278597,0.0013460199582269667,0.3092971829631766,0.03496378830083566
021181,7062,37993,0.07774193548387097,0.22552574329224076,0.1714811668082696,0.04564942495408841,0.007505438723712835,0.2770151355156635,0.01968280940243557
021183,24152,39479,0.10710798672134349,0.19888017917133258,0.1721182510765154,0.08105318114182658,0.0024524076147816347,0.20003846893633392,0.03221265319642266
021185,63876,86324,0.04100895560853038,0.061941631923764146,0.116303462959484,0.19745678785185916,8.834623783998412e-4,0.312543755517,0.021040766485064814
021187,10673,41597,0.08483171968649147,0.19994931576279776,0.16705705987070177,0.06813299480693713,0.007450582868727826,0.21235752849430115,0.0138667666073269
021189,4552,22106,0.0844475721323012,0.41225461035098154,0.16278558875219684,0.08947200828697732,0.018679357525282568,0.14553723706651506,0.016476274165202108
021191,14509,49766,0.056488103926434094,0.13330815709969787,0.14673650837411262,0.03806063301722351,0.004229607250755287,0.1937739304145164,0.02088358949617479
021193,27818,31578,0.15212981744421908,0.2960354014268943,0.1496513049104896,0.06124639739358162,0.0018242572022035585,0.20204313280363223,0.05999712416421022
021195,62791,32816,0.10240730373368934,0.2686284366420479,0.16024589511235687,0.031034085666932998,9.937744093422526e-4,0.1735252381917697,0.035100571737987925
